"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-01-19,175,26963092,199.058052466762,166,234,-24.0580524667621,0.649035355440689,0.73826122192055,0.615656394303739,0.867852989560693,-0.0892258664798609,"model 1"
"2","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-01-26,171,26963092,198.714107315539,166,235,-27.7141073155394,0.634200261602045,0.736985607272116,0.615656394303739,0.871561763020354,-0.102785345670071,"model 1"
"3","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-02,168,26963092,198.020992022575,165,233,-30.0209920225751,0.623073941223062,0.734414999669085,0.611947620844078,0.864144216101032,-0.111341058446024,"model 1"
"4","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-09,162,26963092,196.994647668682,165,232,-34.9946476686819,0.600821300465095,0.730608520968893,0.611947620844078,0.860435442641371,-0.129787220503798,"model 1"
"5","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-16,157,26963092,195.657308894208,163,229,-38.6573088942081,0.58227743316679,0.725648634415549,0.604530073924756,0.849309122262387,-0.143371201248759,"model 1"
"6","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-23,151,26963092,194.036813973997,162,228,-43.0368139739969,0.560024792408823,0.719638585863954,0.600821300465095,0.845600348802726,-0.159613793455131,"model 1"
"7","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-02,149,26963092,192.165769010557,160,226,-43.1657690105574,0.552607245489501,0.712699303961717,0.593403753545773,0.838182801883404,-0.160092058472216,"model 1"
"8","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-09,153,26963092,190.080609782184,158,224,-37.0806097821836,0.567442339328145,0.704965920756357,0.585986206626451,0.830765254964082,-0.137523581428212,"model 1"
"9","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-16,150,26963092,187.82060751655,156,221,-37.8206075165498,0.556316018949162,0.6965840843348,0.578568659707129,0.819638934585099,-0.140268065385638,"model 1"
"10","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-23,148,26963092,185.426864271277,154,218,-37.4268642712769,0.54889847202984,0.687706232917489,0.571151112787806,0.808512614206116,-0.138807760887649,"model 1"
"11","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-30,148,26963092,182.941340011676,152,215,-34.9413400116759,0.54889847202984,0.678487986510138,0.563733565868484,0.797386293827132,-0.129589514480298,"model 1"
"12","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-06,151,26963092,180.405947448727,149,213,-29.405947448727,0.560024792408823,0.66908478986285,0.552607245489501,0.78996874690781,-0.109059997454027,"model 1"
"13","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-13,143,26963092,177.861742962286,147,210,-34.8617429622859,0.530354604731535,0.659648911787587,0.545189698570179,0.778842426528827,-0.129294307056053,"model 1"
"14","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-20,142,26963092,175.34823327351,145,208,-33.3482332735102,0.526645831271873,0.650326873763255,0.537772151650857,0.771424879609505,-0.123681042491381,"model 1"
"15","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-27,146,26963092,172.902808708121,143,204,-26.9028087081212,0.541480925110518,0.641257348037537,0.530354604731535,0.75658978577086,-0.099776422927019,"model 1"
"16","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-04,147,26963092,170.560305570603,141,202,-23.5603055706027,0.545189698570179,0.632569534571935,0.522937057812212,0.749172238851538,-0.0873798360017563,"model 1"
"17","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-11,148,26963092,168.352692842727,139,200,-20.3526928427274,0.54889847202984,0.624381999077581,0.51551951089289,0.741754691932216,-0.0754835270477414,"model 1"
"18","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-18,157,26963092,166.308872470559,138,197,-9.30887247055929,0.58227743316679,0.61680193232497,0.511810737433229,0.730628371553233,-0.03452449915818,"model 1"
"19","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-25,150,26963092,164.454578084085,136,195,-14.4545780840846,0.556316018949162,0.609924774518014,0.504393190513907,0.723210824633911,-0.0536087555688517,"model 1"
"20","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-01,148,26963092,162.812354123748,134,193,-14.8123541237482,0.54889847202984,0.603834137879099,0.496975643594585,0.715793277714588,-0.0549356658492588,"model 1"
"21","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-08,149,26963092,161.401595930273,133,191,-12.4015959302729,0.552607245489501,0.598601955333138,0.493266870134924,0.708375730795266,-0.0459947098436371,"model 1"
"22","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-15,143,26963092,160.23863120907,132,191,-17.2386312090702,0.530354604731535,0.594288782640619,0.489558096675263,0.708375730795266,-0.0639341779090849,"model 1"
"23","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-22,139,26963092,159.336824185727,131,190,-20.336824185727,0.51551951089289,0.590944184686708,0.485849323215602,0.704666957335605,-0.0754246737938178,"model 1"
"24","Texas","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-29,148,26963092,158.706685491669,130,189,-10.7066854916686,0.54889847202984,0.588607143022279,0.48214054975594,0.700958183875944,-0.0397086709924389,"model 1"
